Comment: 
Version: 2.3 [3.0.8263]
File Name: C:\Users\Algiz 8X\Desktop\230621_toma5\cavendish\PSR-1100f_SN22A44H3_00040.sed
Instrument: PSR-1100f_22A44H3
Detectors: 512,0,0
Measurement: REFLECTANCE
Date: 06/21/2023,06/21/2023
Time: 10:49:25.71,11:02:42.55
Temperature (C): 29.04,31.29
Battery Voltage: 8.27,8.20
Averages: 10,10
Integration: 23,100
Dark Mode: AUTO,AUTO
Foreoptic: FIBER1 {RADIANCE},FIBER1 {RADIANCE}
Radiometric Calibration: RADIANCE
Units: W/m^2/sr/nm
Wavelength Range: 320,1100
Latitude: n/a
Longitude: n/a
Altitude: n/a
UTC Time: n/a
Satellites: n/a
Calibrated Reference Correction File: Sticker
Channels: 781
Columns [2]:
Data:
Wvl	Reflect. %
964.0	13.5567
965.0	13.5303
966.0	13.5092
967.0	13.5100
968.0	13.5707
969.0	13.6201
970.0	13.6408
971.0	13.6147
972.0	13.5645
973.0	13.5277
974.0	13.5477
975.0	13.6357
976.0	13.5810
977.0	13.4696
978.0	13.4708
979.0	13.5157
980.0	13.5878
981.0	13.5977
982.0	13.5724
983.0	13.5553
984.0	13.5470
985.0	13.5526
986.0	13.5741
987.0	13.6070
988.0	13.6584
989.0	13.6578
990.0	13.5626
991.0	13.5345
992.0	13.5585
993.0	13.5667
994.0	13.5620
995.0	13.5386
996.0	13.5193
997.0	13.5160
998.0	13.5962
999.0	13.6513
1000.0	13.5864
1001.0	13.5516
1002.0	13.5529
1003.0	13.4766
1004.0	13.4773
1005.0	13.7498
1006.0	13.7946
1007.0	13.5990
1008.0	13.5279
1009.0	13.5235
1010.0	13.5646
1011.0	13.6740
1012.0	13.8511
1013.0	13.8123
1014.0	13.6711
1015.0	13.6420
1016.0	13.6698
1017.0	13.7441
1018.0	13.6966
1019.0	13.6099
1020.0	13.6624
1021.0	13.7213
1022.0	13.7403
1023.0	13.7127
1024.0	13.6723
1025.0	13.7922
1026.0	13.8708
1027.0	13.7394
1028.0	13.6690
1029.0	13.6823
1030.0	13.7576
1031.0	13.7839
1032.0	13.5291
1033.0	13.5194
1034.0	13.8702
1035.0	13.9290
1036.0	13.8206
1037.0	13.7132
1038.0	13.6806
1039.0	13.7893
1040.0	13.7892
1041.0	13.6969
1042.0	13.5635
1043.0	13.5047
1044.0	13.6327
1045.0	13.8685
1046.0	14.1453
1047.0	13.9021
1048.0	13.5142
1049.0	13.3870
1050.0	13.3972
1051.0	13.5352
1052.0	13.7184
1053.0	13.8421
1054.0	13.5398
1055.0	13.4653
1056.0	13.9524
1057.0	13.9915
1058.0	13.7308
1059.0	13.8919
1060.0	14.0326
1061.0	13.8891
1062.0	13.4741
1063.0	12.9122
1064.0	13.4265
1065.0	14.2639
1066.0	14.4499
1067.0	14.1974
1068.0	13.4344
1069.0	13.2996
1070.0	13.6326
1071.0	13.6607
1072.0	13.7938
1073.0	14.3720
1074.0	14.3944
1075.0	13.8521
1076.0	13.6390
1077.0	13.5542
1078.0	13.3640
1079.0	13.5327
1080.0	14.3332
1081.0	14.4767
1082.0	14.0680
1083.0	13.5097
1084.0	13.1280
1085.0	13.3207
1086.0	13.3784
1087.0	13.1831
1088.0	13.3367
1089.0	13.6757
1090.0	13.9803
1091.0	14.0126
1092.0	13.6096
1093.0	13.1996
1094.0	12.8463
1095.0	12.8551
1096.0	13.0419
1097.0	13.2796
1098.0	13.2419
1099.0	12.8303
1100.0	13.2230
